feature,importance
asking advice,0.31544412273162037
asking multiple,0.09790356942778211
asking one,-0.09132610924565247
asking people,0.08097352888147759
asks,-0.5956039119293643
asleep,0.40982007238338497
aspect,-0.7849932058737003
aspects,-0.21358356595525727
assertions,0.14057408838047367
assertions without,0.26982335170844673
assign,-0.2860793890301391
assigned,-0.23350291576674842
assigning,-0.61984431200835
assignment,-0.23158446053995935
assignments,0.44554588475468965
assist,-0.7047137598085571
assistance,-0.8413439162723079
associated,-0.5302908576267155
assume,0.0035268713237282994
assure,0.43078938483570434
astronomers,0.45211946644461415
astronomers fascinated,-0.20319344866480993
atlantic,-0.013160215670994325
atleast,0.3561543260457207
atmosphere,0.2978957312466848
atmosphere almost,0.006530965046024094
atmospheric,-0.28136774153088634
atmospheric pressure,-0.285938450836902
attempt,0.27171782389438026
attend,0.2321353801923296
attend class,-0.5069553937154431
attend classes,0.39860473637188804
attend online,0.13272773954856135
attend school,-0.041581497331587634
attending,-0.2128356503012227
attending classes,0.708807367741028
attending school,-0.1437549216251803
attention,0.7087614043556486
attention campaign,-0.1558158420856011
attention presidential,-0.06645291640121867
attention road,0.14754908426442975
audience,-0.15843015417167827
author,-0.13005404221675607
author also,-0.5365593403734199
author gives,-0.08022060891759183
author says,-0.06373470525390189
author states,-0.17166048628120656
author suggests,0.5357974051238917
author supports,0.4630237295638872
author talks,0.083183289800602
authors,0.5602187610698522
auto,-0.007668705045775944
automatically,0.21116428048577263
automobiles,0.2930006745422224
available,-0.5005841554474034
average,0.18369528599144314
average degrees,-0.0745763740941218
avoid,-0.00039675136472808984
avoid runoff,0.7509724963470782
avoided,-0.187447056613802
avoiding,0.5495876904760667
avoids,0.35091290463856156
avoids problem,0.4871367788788335
award,0.0016905697442285228
awarding,0.07396956562546506
awarding electoral,-0.14635808649322285
awards,-0.04459759226773002
awards electors,-0.08656442503593813
aware,0.06147447688508908
away,-0.6042449529480715
away school,-0.07911834798626423
away stress,0.5522132664400853
awesome,0.5299115464493309
baby,0.31763401375796496
back,-0.11005425674685275
back school,0.1539965284163861
background,0.24231701515399307
bad,0.8098063475176486
bad idea,0.46382397530972297
bad thing,-0.3396434635993484
bad things,-0.42030592687919066
balance,0.09068664842128582
balance large,-0.01123823832936994
ball,0.5031623468282965
ban,0.6202778438626471
ban clear,0.16752796932158043
banned,0.501982031789991
bans,0.1441908039938595
bans driving,-0.09590798118658815
barely,-0.6023988775868013
base,-0.023020618799395133
baseball,0.20487880054125315
based,0.038267298804329754
basic,0.13363931029823697
basic emotions,0.1928093869941627
basic level,-0.006721867662930495
basically,1.673028066694924
basis,0.5341741884552275
basis reality,0.13368631708463857
basketball,0.45406265386869293
beacuse,0.5188036540531715
beautiful,0.5309099610709194
became,-0.22668051407202008
becasue,-0.1497459342060415
become,-0.48989278044842843
become president,-0.2422370305819033
becomes,-0.2315748118549469
becoming,0.13652310670981802
becoming confused,-0.023624975842427235
becuase,-0.2596340987798476
becuse,0.007988978097765808
bed,-0.12334427371364977
began,0.34084572493097764
begin,-0.5820399241099549
beginning,0.01920847899404912
begins,-0.07186829552817665
begins computer,0.20243293523285089
behavior,0.07569670216046023
behind,0.4565258877183531
behind wheel,-0.511097502202318
beleive,-0.14746749172982226
beliefs,-0.10803602293349424
believe,0.1625791023144737
believe aliens,-0.22337105397941148
believe electoral,0.4546181445825428
believe face,0.9167541518672128
believe keep,0.42959022234153604
believe students,-0.070201497474141
believe would,0.09406907856196368
believed,-0.5159438186869155
believes,-0.13786940397612962
belive,-0.4700220958097225
beneficial,-0.6778966381559475
beneficial students,0.1344124077547759
benefit,-0.5328515136537468
benefit able,0.2843408960055668
benefit online,0.9404662133830702
benefit students,-0.20249154921443277
benefits,-0.2951198523914476
benifit,-0.22075415689321856
besides,-0.5589150316247438
best,0.1125023692001492
best argument,0.05767648254181477
best arguments,-0.24925578998548356
best choice,-0.6381930004506564
best decision,-0.36175080160456485
best friend,-0.05240128100316522
best option,0.440886040997699
best thing,-0.44913500869365824
best way,0.6760465235666336
bestlaid,0.05423570012603836
bestlaid defenses,0.26679831045643193
bet,-0.14192992545863486
betrayed,1.0229209331167148
better,0.34629787851630245
better chance,0.2684797639630528
better choice,-0.10458623743715853
better choices,0.602602141111531
better decision,-0.764537157279848
better grades,0.07726074066726575
better one,-0.7275104338468431
better people,0.7095484226478914
better person,-0.10598166346424541
better place,0.26854325649725774
better school,0.20053354566339934
better students,0.7061767917991244
better understanding,0.42675487166256615
better way,-0.27045111892350293
better ways,0.24186022481112918
beyond,0.20930192446032575
beyond limited,0.24082398562397064
bias,-0.5188120779097471
biased,-0.3618750047823828
bicycle,0.35586069882561877
big,0.19648452166454383
big deal,-0.42189948246295916
big hit,0.11258247705138191
big part,-0.06915636947153142
big states,-0.020851519583557344
bigger,0.016261819834864046
bigger states,0.44124927381937235
biggest,-0.2540013015030248
biggest election,0.19287461196078218
bike,0.28704638245883246
bikes,0.4401628543741311
bill,0.11752738933011508
bills,0.1860299350273028
bit,0.014251076100849002
blame,0.021601065858337102
blankets,0.005139553130832471
blankets venus,-0.1010668569745193
blimp,0.36462818602908353
blimplike,0.17115379443560153
bmw,0.6146397653779485
board,-0.5647130994852898
boat,-0.04566124108294153
bob,0.24090529209591308
bob dole,0.17743295560250794
body,-0.3151263101756839
bogota,0.6088716147631473
bogota colombia,-0.3345229394263114
bomberger,0.016854363460113878
book,0.29112379787426385
books,-0.0960890666733285
books magazines,-0.006346338819949234
bored,0.8109335544255771
boring,0.47363487674459953
bother,-0.2002493781071023
bound,-0.8818637545420297
box,0.06577510673832827
boxing,-0.04870176386226969
boy,0.03288112443037757
bradford,-0.19225182490176815
bradford plumer,0.17005081573870073
brain,0.10892298433418524
brains,-0.42640741941309407
brake,-0.07188938830347677
brakes,0.13658379953049024
break,0.6406853968346478
break school,0.0700889128697524
break students,0.372673146632287
breaking,0.49526044592193375
breaks,-0.6095577192275359
breath,0.6549661992314502
bright,-0.1621170182513646
brightest,-0.15142836768982
brightest points,0.09396508291269921
bring,0.1385419090351817
bring cell,0.14946689645769937
